time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,,,,
0,-7.635511755,7.144452691,-57.28432848,-0.150367201,-0.413165465,11.15248012,-144.5650368,-2.328127712,-10.30419433,,,,
0.008333,-8.82262242,7.115980864,-57.37211608,-1.306578931,0.39714484,12.38209224,-141.7102051,-2.39160204,-11.43661809,,,,
0.016666,-9.973275661,7.080867887,-57.43893815,-1.471958318,1.143830739,9.572406112,-137.6560059,-3.382424234,-9.175494074,,,,
0.024999,-11.12326705,7.047034502,-57.5199337,-1.577304944,2.281825721,8.75180924,-137.3855667,-2.740396828,-10.84142876,,,,
0.033332,-12.28808212,6.954178214,-57.57906533,0.142987868,0.776385218,9.656651379,-139.4699936,-9.963812232,-9.745571494,,,,
0.041665,-13.42596602,6.844356418,-57.63189315,-1.024339199,0.476150707,11.72107029,-136.389698,-11.97872049,-9.637017011,,,,
0.049998,-14.52411819,6.738136768,-57.69337273,-1.905634358,1.300366036,11.3846209,-131.4896069,-11.05361521,-10.78792453,,,,
0.058331,-15.5796175,6.622197032,-57.72579575,-1.166358512,0.776160732,9.977333785,-126.8023815,-12.92951,-7.958336353,,,,
0.066664,-16.61684632,6.497885704,-57.783226,-1.365720876,2.055473626,10.02571475,-124.2621308,-12.91350174,-11.22102857,,,,
0.074997,-17.62982655,6.347392798,-57.80088425,-0.537301682,1.258469995,10.47422123,-121.9577675,-17.17399621,-7.619240881,,,,
0.08333,-18.61917353,6.196964264,-57.84070205,-2.190566046,2.053955207,11.67397118,-118.7856998,-16.18760991,-10.61154366,,,,
0.091663,-19.56146336,6.053972125,-57.85160638,-1.034730123,0.988468349,11.52206731,-113.5650826,-16.35716319,-7.116740049,,,,
0.099996,-20.44509316,5.906543613,-57.8676472,-1.83843334,2.351988077,10.19430423,-106.4487267,-16.48948694,-8.265551568,,,,
0.108329,-21.27527332,5.754381299,-57.8710289,-0.712280549,1.904014081,10.40648317,-100.1932945,-17.43432665,-7.323677481,,,,
0.116662,-22.04795933,5.599437356,-57.8591938,-1.971949201,1.769996107,9.736288069,-93.48988151,-18.30297423,-5.953308703,,,,
0.124995,-22.76286697,5.454914212,-57.86448858,-1.831146002,2.804200113,11.43368554,-86.36248206,-16.37898564,-7.427063524,,,,
0.133328,-23.40727711,5.316349626,-57.83704185,-1.504607812,1.837382972,9.846479297,-78.28714562,-17.04176617,-3.897689283,,,,
0.141661,-23.98696566,5.187419713,-57.8430996,-2.020468056,2.452258349,12.03489995,-70.15240193,-14.43455911,-7.093613148,,,,
0.149994,-24.49805593,5.046943367,-57.80363083,-1.029226497,2.177209467,10.19549847,-62.41304302,-17.75317931,-3.027360469,,,,
0.158327,-24.94248104,4.934055686,-57.80738643,-2.781077654,2.728317618,11.115767,-53.96884823,-12.65569639,-6.294225335,,,,
0.16666,-25.32258272,4.807446719,-57.7754898,-0.285326578,1.448870614,10.65540337,-46.59938574,-15.80070567,-3.402628958,,,,
0.174993,-25.64473486,4.702886343,-57.77284433,-3.052981168,2.901003957,9.949898243,-39.38799,-12.01245439,-5.32534939,,,,
0.183326,-25.91391802,4.589023411,-57.7558193,-0.748939082,1.697100044,12.28008485,-33.12992287,-13.6046114,-4.520149976,,,,
0.191659,-26.12476873,4.489372433,-57.74001693,-2.53896229,1.368046641,9.670453908,-26.17506552,-12.13206136,-3.747307777,,,,
0.199992,-26.28662682,4.400559485,-57.74083903,-1.463465914,2.297440171,11.45332694,-20.08441687,-9.925173164,-5.23412171,,,,
0.208325,-26.40787077,4.320448875,-57.72286603,-2.151541487,0.852768775,9.872828484,-15.44778723,-10.12225634,-2.549248069,,,,
0.216658,-26.49810648,4.252885401,-57.73887635,-1.811353207,1.277838603,11.3848517,-11.36686212,-6.799418926,-5.816043377,,,,
