time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1.014851511,6.776171804,-64.11555483,-1.631186177,-0.360262372,8.069361091,-134.2523308,18.94723773,-11.02351165
0.008333,-0.06600374,6.932023525,-64.17086028,-2.119819746,0.106252346,9.017961861,-129.279398,18.12989521,-7.310216309
0.016666,-1.128955059,7.045472741,-64.24983215,-1.221561374,1.032411784,15.48038876,-126.8495503,13.23148656,-9.810569167
0.024999,-2.228431959,7.181584001,-64.33226968,-1.455783688,0.939800332,10.59115446,-131.1107426,16.12236762,-9.782603381
0.033332,-3.327538669,7.303728581,-64.41295053,-0.147299375,-0.175028116,5.485739753,-131.1401978,14.6573472,-9.338744879
0.041665,-4.386601091,7.381670952,-64.5075474,-1.697156943,-0.189575691,10.20496213,-126.0519314,9.608702661,-11.20984006
0.049998,-5.442389727,7.470501423,-64.59846495,-1.397674278,1.033800811,14.44243669,-125.7642651,11.10391426,-10.3882724
0.058331,-6.528935432,7.556367874,-64.69340895,-2.088545158,0.166514333,9.197286963,-129.3323631,10.91976023,-10.50749087
0.066664,-7.614631295,7.606773019,-64.7936783,0.70018819,-0.371447012,6.909757971,-129.1596107,6.99316688,-11.65148425
0.074997,-8.686444878,7.629529238,-64.89427948,-2.465733528,0.232558139,11.09804869,-127.4675961,3.925802111,-12.05057407
0.08333,-9.765967368,7.659711361,-64.97280883,-0.192953021,0.532779601,12.24702859,-128.7535171,4.575401604,-9.139270782
0.091663,-10.84384298,7.667832852,-65.0829735,-2.544683002,0.000556793,10.50950825,-128.0399761,2.753913969,-13.06586766
0.099996,-11.90907788,7.645608068,-65.15577318,-0.066876158,0.735723511,10.81157887,-127.1348533,-1.366127015,-9.653271318
0.108329,-12.98136139,7.593619824,-65.24137498,-1.821781352,0.354261469,10.35264087,-127.7968216,-4.457783491,-11.57862902
0.116662,-14.03224397,7.539270639,-65.31035613,0.753778771,0.240723614,8.930157423,-125.5038185,-4.907931723,-10.00775671
0.124995,-15.06153369,7.447735429,-65.39287568,-3.188517638,0.823271305,10.94882965,-122.7591343,-8.66629994,-12.56816459
0.133328,-16.08604384,7.352595806,-65.43572428,0.031657435,0.728372216,11.86674547,-122.7599144,-10.12947535,-8.460085631
0.141661,-17.1077857,7.257480264,-65.52197838,-2.98694972,0.447701452,10.07572341,-121.8616943,-8.563518344,-13.17319155
0.149994,-18.0873723,7.126613855,-65.5592556,0.988866121,0.569061099,8.186139941,-117.4799233,-14.11236584,-9.512263657
0.158327,-19.04571438,6.984837532,-65.60349085,-2.899602771,1.325793192,13.35263968,-114.8650131,-14.96850228,-10.79364252
0.16666,-19.99186468,6.858756542,-65.63746453,0.75150805,0.862773873,9.791118265,-113.5366306,-13.46099877,-9.241724968
0.174993,-20.87379503,6.715025544,-65.67996215,-3.691942156,0.833249163,8.082306504,-105.803709,-14.95816994,-10.94868708
0.183326,-21.69726515,6.569554806,-65.67179108,0.236605537,1.769473702,13.39490962,-99.39056778,-17.187258,-5.875955761
0.191659,-22.49669457,6.408959031,-65.70840455,-3.358463377,2.411962271,11.20449734,-96.03422545,-16.77807713,-11.4630959
0.199992,-23.22931051,6.280893564,-65.68596075,0.191386456,1.599939734,7.607479095,-88.73019219,-15.74310851,-3.851657033
0.208325,-23.88121033,6.124741912,-65.70244598,-3.171035528,1.840754539,11.42924285,-78.64962482,-16.93337393,-9.488369703
0.216658,-24.46231747,5.973253012,-65.67518615,-0.486437574,2.563487798,10.95348823,-70.593503,-18.45979619,-4.840007127
0.224991,-24.99636459,5.818107486,-65.67137145,-3.011886865,2.279609263,11.92687249,-64.8117342,-17.65480423,-7.521642625
0.233324,-25.4802413,5.67734468,-65.65332793,-0.515173078,1.502860889,10.23402858,-58.82682991,-16.72898221,-5.596820772
0.241657,-25.88216019,5.54314661,-65.6551628,-2.507790745,1.449434146,9.473258017,-48.91451645,-14.85925698,-7.544433474
0.24999,-26.22082186,5.396303773,-65.62394333,-1.278616131,1.920250222,13.04596257,-41.55331755,-18.00245834,-4.717011809
0.258323,-26.51775599,5.271250725,-65.63919258,-2.777369469,2.634932459,12.46726632,-36.1856513,-13.1673969,-8.519478797
0.266656,-26.77531052,5.144927442,-65.61637685,-1.453880921,1.184056174,9.275564789,-31.73266649,-15.2992537,-4.672408253
0.274989,-26.96376181,5.054658115,-65.6323433,-2.118146077,0.907055795,10.90914631,-23.18855167,-9.355494676,-6.805585146
0.283322,-27.1034751,4.937927902,-65.62866973,-1.768850695,1.53050834,10.932899,-17.40937448,-13.19350338,-6.295220494
0.291655,-27.20573664,4.865399718,-65.62609483,-2.385671206,1.66003722,12.00917327,-13.02249968,-8.437966377,-3.929800987
0.299988,-27.29481363,4.794957519,-65.64805793,-1.86989115,0.869173817,10.49164569,-11.10504758,-6.835038842,-6.500273228
0.308321,-27.32629299,4.757569969,-65.65732385,-1.643021599,0.34254374,8.753894926,-4.418008432,-4.017926581,-3.311152399
0.316654,-27.33378315,4.695694387,-65.66544723,-2.476785138,0.890620992,13.98475576,-1.446731121,-6.666431665,-4.582150102
0.324987,-27.3362999,4.681254149,-65.68217848,-1.260445878,1.310048668,10.89910865,-0.847866342,-1.163260984,-2.832063586
