time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
100,2022-07-07 08:10:25,32.8256841215075,34.9559635814824,0,Available with any HD 360 subscription,Available with any HD 360 subscription,5.4942341,0.1,0.0276533,0,0,17,0,0,5.4942341,0,0.0276533,0,0,0,0,222.7, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222073,0.015958,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,"Log filename: FLY457.DAT"
200,2022-07-07 08:10:25,32.8256841218699,34.9559635330617,0,,,5.4942341,0.1,0.0285262,0.00452505,0.00452505,17,0,0,5.4942341,0,0.0285262,0.00452505,0,0,0,222.5, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222286,0.0160209,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
300,2022-07-07 08:10:25,32.8256841219476,34.955963503318,0,,,5.4942341,0.1,0.0122188,0.00730456,0.00730459,17,0,0,5.4942341,0,0.0285262,0.00730456,0,0,0,222.4, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222203,0.0160712,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
400,2022-07-07 08:10:25,32.8256841232435,34.9559634927516,0,,,5.4942341,0.1,0.0110606,0.00829406,0.00830246,17,0,0,5.4942341,0,0.0285262,0.00829406,0,0,0,222.5, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9222148,0.0161606,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
500,2022-07-07 08:10:25,32.8256841304868,34.9559634758522,0,,,5.4942341,0.1,0.0131478,0.00992143,0.0100753,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.4, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9221225,0.016514,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
600,2022-07-07 08:10:25,32.8256841321307,34.9559634835054,0,,,5.4942341,0.1,0.00603327,0.00923177,0.0108134,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.4, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9221258,0.0164888,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
700,2022-07-07 08:10:25,32.8256841332677,34.9559634929227,0,,,5.4942341,0.1,0.00361799,0.00837852,0.0117025,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.6, -1.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9219807,0.0158241,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
800,2022-07-07 08:10:26,32.8256841333097,34.9559635043862,0,,,5.4942341,0.1,0.00325658,0.00732314,0.0127738,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9219765,0.015951,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
900,2022-07-07 08:10:26,32.8256841327686,34.9559634946428,0,,,5.4942341,0.1,0.00484461,0.00821114,0.0136863,17,0,0,5.4942341,0,0.0285262,0.00992143,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.9219242,0.016302,97,4.263,4.264,4.262,4.264,0,0,0,38,5.4942341,0,41,Motors_Started,
1000,2022-07-07 08:10:26,32.8256841301566,34.9559634554026,0,,,5.4942341,0.1,0.00395283,0.0118212,0.0173647,17,0,16.986,5.4942341,0,0.0285262,0.0118212,0,0,0,222.5, -1.3, 3.1,0,0,1024,1024,1024,1024,0,0,0,0,359.9219199,0.0163538,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1100,2022-07-07 08:10:26,32.8256841247074,34.9559634269457,0,,,5.4942341,0.1,0.00748876,0.0144457,0.0200922,17,0,16.986,5.4942341,0,0.0285262,0.0144457,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.921828,0.0160507,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
1200,2022-07-07 08:10:26,32.8256841217449,34.9559634142333,0,,,5.4942341,0.1,0.0069823,0.0156293,0.021325,17,0,16.986,5.4942341,0,0.0285262,0.0156293,0,0,0,222.5, -1.3, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,359.921828,0.016039,97,4.263,4.264,4.262,4.264,0,0,1.568,38,5.4942341,0,41,Motors_Started,
