SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
467649731,-6.513142586,4.526941299,-144.8807678,0,0,0,0,0,0,-0.497558594,-0.419433594,-1.08984375, 
467658064,-6.395394325,4.488457203,-144.8806305,-0.399325401,0.692978501,8.313175201,13.36675072,-5.026333332,-0.922189295,-0.500488281,-0.424804688,-1.083496094, 
467666397,-6.264468193,4.5282197,-144.8914795,-1.618811011,0.452637196,11.5247364,15.03641701,4.470005512,-1.249078393,-0.499023438,-0.42578125,-1.089355469, 
467674730,-6.124554157,4.489539623,-144.8887024,-1.385359645,-1.200521588,8.742988586,16.00010109,-5.084272385,-0.590331316,-0.500488281,-0.427246094,-1.079101563, 
467683063,-5.950974464,4.525725365,-144.8975983,0.244840086,0.720216811,7.898915291,20.13590813,4.014687061,-1.087913871,-0.499511719,-0.431152344,-1.080566406, 
467691396,-5.780649185,4.488306999,-144.9068146,-0.942324221,-0.422166377,7.712211132,19.76152992,-4.788967133,-1.974704623,-0.496582031,-0.431152344,-1.077636719, 
467699729,-5.593524456,4.522460938,-144.9033966,-1.120740652,-0.204021007,12.5599823,21.64610291,3.622584581,0.324775845,-0.494628906,-0.438476563,-1.083496094, 
467708062,-5.42359972,4.520231247,-144.8981781,0.351537555,-0.702773213,7.10050106,19.57600975,-0.761767626,0.187329769,-0.494628906,-0.436035156,-1.076660156, 
467716395,-5.256590843,4.491352558,-144.8862457,-0.61333245,-0.221836612,10.22520828,19.15040016,-3.998203993,0.612679899,-0.491210938,-0.445800781,-1.084472656, 
467724728,-5.06997633,4.491529465,-144.8853607,-0.621580243,-0.981381059,8.654306412,21.61922836,-0.423300982,-0.298790157,-0.497558594,-0.444824219,-1.077148438, 
467733061,-4.933599472,4.437150478,-144.8665161,-0.64698422,-1.044166923,12.02801132,15.41038418,-7.111614227,1.193738699,-0.498046875,-0.4453125,-1.067871094, 
467741394,-4.794070721,4.426687241,-144.8713531,-0.872868299,-0.522966206,11.07792664,16.0233078,-1.634367704,-1.111939788,-0.492675781,-0.447753906,-1.075683594, 
467749727,-4.660878658,4.359168053,-144.8638458,-0.078739017,-0.396732062,9.200364113,15.13559532,-8.56378746,-0.258703828,-0.491210938,-0.454589844,-1.078125, 
467758060,-4.567604065,4.298811913,-144.8653412,-2.505324125,-1.343815684,11.14477348,10.43932629,-7.637372494,-1.169546008,-0.498046875,-0.450195313,-1.0703125, 
467766393,-4.448278904,4.256997108,-144.8745422,1.091100812,0.16416578,4.466648579,13.6235342,-5.329912663,-1.979160905,-0.49609375,-0.456054688,-1.067382813, 
