SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
467549735,-4.411888599,5.982344151,-178.253006,0,0,0,0,0,0,0.007324219,-0.546386719,-0.535644531, 
467558068,-4.623920918,5.933196068,-178.2340088,1.143576026,-0.678223014,9.887975693,-27.44274712,-6.401128769,1.604463816,0.004882813,-0.539794922,-0.539550781, 
467566401,-4.821485996,5.839653969,-178.2044373,-2.140450001,0.346667975,6.747486115,-25.86145401,-11.82364082,2.399837732,0.000976563,-0.541748047,-0.528808594, 
467574734,-5.007921219,5.800060749,-178.1833649,-1.524986863,-0.55687958,12.05218697,-24.39147568,-5.292159557,1.906199574,0.001464844,-0.539794922,-0.538085938, 
467583067,-5.208508492,5.716703415,-178.1503906,-0.534662485,0.338059306,10.39186668,-26.25724602,-10.65867901,2.838302374,-0.002441406,-0.535888672,-0.538330078, 
467591400,-5.405903339,5.64879179,-178.1450653,-0.612228513,0.38796857,7.496242046,-25.51484489,-8.515919685,-0.314133197,-0.007324219,-0.539306641,-0.539794922, 
467599733,-5.546874523,5.547269344,-178.1232452,-1.727483749,0.556075931,6.340696335,-18.96040916,-12.72154522,1.236617327,-0.001464844,-0.531738281,-0.548583984, 
467608066,-5.664935589,5.530004501,-178.1195831,-0.91696763,0.88696748,12.8509922,-15.97611332,-2.448183298,0.039407503,-0.005371094,-0.53125,-0.541748047, 
467616399,-5.761940002,5.444236755,-178.1075287,-1.099672318,1.131448627,8.729499817,-13.56740475,-10.7288332,0.215940908,-0.001953125,-0.52734375,-0.541259766, 
467624732,-5.800600052,5.426968575,-178.1064453,-2.606799841,0.814095259,6.998386383,-6.418619633,-2.418880224,-0.270844907,-0.009033203,-0.52734375,-0.544677734, 
467633065,-5.773821354,5.430627346,-178.0908661,-0.590385973,1.7121737,8.149701118,1.248015165,-0.095233724,1.700183153,-0.0078125,-0.532226563,-0.544189453, 
467641398,-5.736792564,5.403339863,-178.0923767,-1.654316187,0.852489948,11.94503117,2.692197084,-3.586249352,-0.697654903,-0.006835938,-0.530273438,-0.547119141, 
467649731,-5.647716045,5.404728889,-178.0780182,-1.24202013,0.071877584,7.573131561,8.73820591,-0.348327935,1.530079007,-0.005859375,-0.530273438,-0.546142578, 
467658064,-5.549623966,5.412098885,-178.0842285,0.086086221,0.673093975,10.49897099,10.07083988,0.606711626,-0.844065905,-0.004394531,-0.527832031,-0.546142578, 
467666397,-5.413741112,5.393751621,-178.0878754,-1.04801023,0.432688922,6.75453043,14.55965805,-2.495646238,-0.838405252,-0.004394531,-0.531738281,-0.541748047, 
467674730,-5.238535881,5.39839077,-178.0989532,-1.500059724,0.014234515,13.07845592,19.37851906,0.332152694,-1.463623405,-0.004882813,-0.52734375,-0.541259766, 
467683063,-5.084236145,5.408960819,-178.0933533,-0.868119061,0.098985597,9.20356369,16.66492271,0.858294845,0.588423133,-0.002929688,-0.537353516,-0.540771484, 
467691396,-4.910167217,5.425913334,-178.1113586,-0.010863882,-0.498357266,7.067161083,19.32007027,1.869494081,-2.159536839,-0.005371094,-0.538330078,-0.542724609, 
467699729,-4.714571953,5.401197433,-178.0998383,-1.423053384,0.403312296,12.72781754,21.55360794,-3.416991711,0.930706441,-0.002441406,-0.545654297,-0.546142578, 
467708062,-4.54472065,5.476335049,-178.1070099,-2.328037024,-0.706527174,8.91116333,18.68893433,8.712057114,-0.321407527,-0.008789063,-0.545166016,-0.536376953, 
467716395,-4.37600565,5.41881752,-178.0854797,1.471563935,-0.796076775,11.11594105,18.21376419,-7.42600441,1.830611587,-0.005371094,-0.548095703,-0.532714844, 
467724728,-4.203836918,5.430630684,-178.0898438,-2.540747166,-0.138203293,8.771883965,18.93552017,1.107700706,-0.604931533,-0.009277344,-0.546630859,-0.530517578, 
467733061,-4.064194679,5.384064674,-178.0677643,1.175977468,-1.514905214,10.65729713,14.71926117,-6.107510567,2.035140991,-0.005859375,-0.545654297,-0.532226563, 
467741394,-3.928007364,5.319081306,-178.0680542,-1.146678209,-0.273585707,10.78736305,14.57041931,-8.121354103,-0.769887328,-0.006835938,-0.555419922,-0.533447266, 
467749727,-3.805375099,5.306100368,-178.0656433,-1.38729322,-0.258155018,9.44389534,12.90175247,-1.918788433,-0.011654479,-0.008789063,-0.557373047,-0.532470703, 
467758060,-3.697941303,5.223115921,-178.0766602,-1.745921135,-1.103073001,12.70086098,11.23557091,-10.19518471,-2.157845974,-0.010253906,-0.553955078,-0.522949219, 
467766393,-3.598466873,5.184292316,-178.074707,-1.156546235,0.348042816,8.77790451,10.1299305,-5.00924778,-0.258678198,-0.005859375,-0.553466797,-0.528808594, 
467774726,-3.499003887,5.151587963,-178.1048737,-1.009448886,-0.984263778,6.931492329,10.48312759,-4.038468838,-4.034089088,-0.008300781,-0.563232422,-0.533447266, 
467783059,-3.404723167,5.061383247,-178.1114044,-0.702673614,-0.678484499,14.63702583,9.596411705,-11.10338688,-1.625761271,-0.009765625,-0.556884766,-0.51953125, 
467791392,-3.344726563,5.075612545,-178.1470032,-2.111757755,0.312389463,10.8860321,5.799895287,1.610046744,-4.341434002,-0.003417969,-0.562011719,-0.522949219, 
467799725,-3.28823185,4.997199059,-178.168335,0.937570274,-1.165078998,8.482154846,5.217095375,-9.591941833,-3.282823324,-0.009277344,-0.561279297,-0.524902344, 
467808058,-3.1889081,4.955921173,-178.193512,-2.500607252,0.409984171,10.03660107,10.4046936,-5.118876934,-3.48199892,-0.008789063,-0.565429688,-0.520019531, 
467816391,-3.117323875,4.965521812,-178.2079773,-0.656588137,-0.230876446,9.424365044,6.952075481,0.900993645,-1.857749343,-0.012695313,-0.559814453,-0.518066406, 
467824724,-3.044371367,4.884819984,-178.2356415,-0.649046063,-0.882237017,11.46006393,7.261827946,-9.837967873,-4.018643379,-0.008789063,-0.566894531,-0.522949219, 
467833057,-2.950114965,4.922745228,-178.2549286,-1.644989491,-0.01373954,10.83723354,9.720794678,4.320801735,-2.257331371,-0.014160156,-0.568603516,-0.520996094, 
467841390,-2.903844118,4.859591484,-178.2623749,0.09279789,-1.011755943,10.59423161,3.850242615,-7.869667053,-1.470333934,-0.008789063,-0.56640625,-0.514648438, 
467849723,-2.819282532,4.835073471,-178.2693939,-0.980409861,-0.384328991,5.795780659,8.431860924,-3.241200209,-1.18015027,-0.009277344,-0.565917969,-0.516113281, 
467858056,-2.725448847,4.827213287,-178.2797089,-1.174366713,0.030615848,13.47607899,9.585960388,-1.227126718,-1.468310237,-0.010742188,-0.5703125,-0.520019531, 
467866389,-2.664194107,4.821059227,-178.2844238,-3.436505079,-0.389580905,10.12716866,5.610119343,-1.056740999,-0.791761637,-0.009765625,-0.570800781,-0.511230469, 
467874722,-2.581536293,4.881747723,-178.3023834,0.26806739,-0.725678563,10.23287773,8.322385788,7.026484489,-2.002034426,-0.006835938,-0.570800781,-0.520507813, 
