SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
467574734,-5.104557514,6.86781168,-139.0584412,0,0,0,0,0,0, 
467583067,-5.281677723,6.770634651,-139.0180054,-1.40798986,0.722777784,9.297287941,-23.35058212,-12.10505199,3.284029007, 
467591400,-5.468182087,6.740322113,-139.0183563,-0.729260027,0.060918309,8.206040382,-23.88207245,-3.6899755,-0.749818683, 
467599733,-5.61414957,6.615208626,-138.9898071,-0.898943365,0.380408198,6.949717522,-19.43515587,-15.32709312,1.478685021, 
467608066,-5.749483585,6.619180679,-138.992218,-1.99420321,0.767854154,10.86685467,-17.71225929,0.43034479,-0.621132493, 
467616399,-5.825132847,6.521180153,-138.9742432,-0.847944558,1.155813932,9.459071159,-10.84349537,-11.97131443,0.486798644, 
467624732,-5.855567455,6.503866673,-138.9768372,-2.317760468,0.937044263,9.507314682,-5.127700329,-2.10937047,-0.888109565, 
467633065,-5.841234207,6.500926018,-138.9599762,-1.700166345,1.506338716,6.402087688,-0.02762495,-0.610989153,1.50432384, 
467641398,-5.805556297,6.487609386,-138.9665222,-0.285776615,0.893172681,9.692285538,2.859573603,-1.585047483,-1.309130907, 
467649731,-5.701947212,6.4677701,-138.9485779,-1.476889253,0.541469336,11.16441727,10.66976357,-2.639073133,1.432348132, 
467658064,-5.599405766,6.500237942,-138.961319,-0.797354877,0.210490093,7.746935844,10.96583939,3.953762531,-1.503901601, 
467666397,-5.461748123,6.453820229,-138.9586334,-1.162482858,0.600371063,9.023852348,14.96345425,-5.631456852,-0.677253246, 
467674730,-5.302950382,6.483967304,-138.9788513,-0.885615587,-0.077718861,8.995556831,17.81821442,3.758864403,-2.464794397, 
467683063,-5.129140854,6.461598873,-138.9681396,-1.299046397,-0.112985492,10.6660471,19.19331551,-2.844858646,0.567637205, 
467691396,-4.957293034,6.50450325,-138.9913025,-1.356158257,-0.321359247,8.564736366,19.42445946,5.302224636,-2.712919712, 
467699729,-4.786075592,6.462042809,-138.9775085,-0.40694207,0.185138166,6.18295145,18.84060669,-5.271501064,0.747935951, 
467708062,-4.603535175,6.508414745,-138.9881592,-2.597798109,-0.537002444,16.35225296,20.53960419,5.583623886,-1.251012444, 
467716395,-4.418254375,6.491932869,-138.9684448,1.038821578,-0.396087945,5.839163303,20.44651985,-2.212852716,1.729806662, 
467724728,-4.255819321,6.464457989,-138.9746246,-1.537891507,-0.665263712,9.642337799,18.06859398,-3.296822071,-1.436562061, 
467733061,-4.11001873,6.447050571,-138.9547424,-0.18629387,-1.222828031,10.10484886,15.70780468,-2.312056303,1.752474904, 
467741394,-3.988550901,6.361615181,-138.9527283,-0.159791321,-0.496227652,5.812579632,13.04249096,-10.3075695,-0.940158069, 
467749727,-3.878346205,6.329631805,-138.9524994,-2.331364632,-0.347457826,12.80825996,11.70053101,-3.887433767,-0.69313401, 
467758060,-3.758934498,6.276728153,-138.9710236,-0.797586679,-1.087455392,10.45245361,13.06259823,-6.253268719,-3.052205801, 
467766393,-3.650004148,6.206827164,-138.9663544,-1.039944172,0.063382022,6.638298512,11.49134064,-8.462265015,-0.445162624, 
467774726,-3.574877739,6.182919025,-138.9998779,-1.885983348,-1.125891685,7.910671234,7.936367512,-2.677417755,-4.584833145, 
467783059,-3.499011755,6.109239578,-139.0093231,0.319193393,-0.093861215,8.362348557,7.705710888,-8.812618256,-2.129478216, 
467791392,-3.419468403,6.091554642,-139.0437927,-3.077492714,0.275657207,14.66821861,8.468374252,-1.938216209,-4.616235733, 
467799725,-3.347814798,6.05486393,-139.067276,0.366376251,-1.03099966,6.991404533,7.377514362,-4.285607338,-3.514823914, 
467808058,-3.266309261,5.988958359,-139.0935364,-1.581862569,0.003899064,6.759436607,8.594779968,-7.782104015,-3.979670763, 
467816391,-3.20353651,5.997150898,-139.1097107,-1.690527201,-0.552367389,11.97003555,6.216012001,1.033150196,-2.33121562, 
467824724,-3.128180027,5.923300743,-139.1364594,-0.224804521,-0.00712936,8.080307961,7.858679295,-8.741307259,-4.04980278, 
467833057,-3.037061691,5.938877583,-139.1602478,-2.483574867,0.29358542,12.91588116,9.710434914,1.963869333,-3.193134785, 
467841390,-2.961308002,5.90966177,-139.1696167,0.632898211,-1.351434708,8.923579216,7.68867588,-3.51172471,-1.696546197, 
467849723,-2.875350952,5.863832951,-139.1720123,-1.517507315,-0.291412801,7.796308517,8.826283455,-5.532995224,-1.025068998, 
467858056,-2.817870378,5.877086163,-139.186142,-1.903007746,-0.530209839,7.81203413,5.557751656,1.606089592,-2.04208231, 
467866389,-2.750308275,5.822937012,-139.1881409,-1.431415796,-0.315627992,12.00394821,6.613186359,-6.535076618,-1.012313128, 
467874722,-2.670736074,5.91716671,-139.2096405,-2.137564421,-0.211906657,8.64687252,8.300268173,11.35064125,-2.458492994, 
