SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
677533002,-1.656869888,6.972851753,-136.673645,0,0,0,0,0,0,-0.478515625,-0.537597656,-0.797851563, 
677541335,-1.754315972,6.999443531,-136.6739197,-1.484193325,0.215589941,8.127493858,-10.17500019,1.986704588,-0.218950525,-0.476074219,-0.529785156,-0.805175781, 
677549668,-1.824201822,6.963585377,-136.6978302,-1.149733782,0.10226775,9.213147163,-6.6245327,-5.403886795,-3.275317907,-0.481933594,-0.528320313,-0.807128906, 
677558001,-1.90138483,6.96957922,-136.6833954,-0.171241894,-0.326818734,12.12589073,-8.05700779,-0.527448297,1.44754982,-0.477539063,-0.529785156,-0.802734375, 
677566334,-1.952108026,6.933125496,-136.6990356,-1.989814281,-0.69868201,9.032747269,-4.344788551,-5.511824608,-2.322134972,-0.4765625,-0.534179688,-0.804199219, 
677574667,-2.026346207,6.92628479,-136.6961365,-1.603416443,0.510034859,8.593121529,-7.537142754,-2.023934603,0.024218263,-0.484375,-0.5234375,-0.802734375, 
677583000,-2.118834019,6.964319229,-136.7187042,-1.63913548,-1.07247746,7.403046608,-9.255577087,3.455373287,-2.825608969,-0.483886719,-0.524902344,-0.809570313, 
677591333,-2.159799576,6.936597824,-136.7057648,-0.839724004,0.422436327,10.2278862,-3.690755129,-4.572934628,1.122684717,-0.487792969,-0.533203125,-0.801269531, 
677599666,-2.219657898,6.944059372,-136.727005,-0.942694068,0.675874293,10.29592896,-5.316261292,-0.199739829,-3.158568621,-0.482421875,-0.521484375,-0.819335938, 
677607999,-2.284124374,6.974981308,-136.7161713,-1.748289585,-0.691554427,7.126903534,-6.480247498,2.467508793,1.142074704,-0.485351563,-0.525390625,-0.802734375, 
677616332,-2.356301785,6.946157932,-136.7358551,-1.20639658,-0.254530549,10.93077755,-6.820738316,-4.550778866,-3.15301013,-0.483886719,-0.526855469,-0.810058594, 
677624665,-2.395112514,6.992097855,-136.7250214,-1.551216722,-0.741742849,11.61631393,-3.400289536,4.26332283,1.221017718,-0.481445313,-0.523925781,-0.817871094, 
677632998,-2.416196585,7.014836788,-136.7434692,-1.64822185,0.884266019,6.641260624,-0.710487664,1.627490282,-2.698895216,-0.486816406,-0.522460938,-0.806640625, 
677641331,-2.482205868,7.03262043,-136.7316589,0.585140944,0.571517944,8.861797333,-6.575148106,0.8694368,1.109698296,-0.478515625,-0.51953125,-0.811035156, 
677649664,-2.531588078,7.061844349,-136.7453308,-2.86661458,-1.581885815,12.15118027,-4.310594082,2.38405776,-1.768227458,-0.481933594,-0.525878906,-0.811035156, 
677657997,-2.54122901,7.071668148,-136.7445984,-1.293019772,0.501178205,8.644087791,0.24539718,-0.01736645,-0.153659791,-0.479003906,-0.521972656,-0.811035156, 
677666330,-2.592459202,7.123939514,-136.7616425,-0.305486023,0.016950633,6.147904873,-4.342637539,5.169478416,-2.41070962,-0.483398438,-0.518066406,-0.814941406, 
677674663,-2.632310152,7.156699181,-136.7475128,-1.715070605,-0.1503582,9.425005913,-3.578846455,2.659103394,1.564146161,-0.4765625,-0.520507813,-0.803222656, 
677682996,-2.650207758,7.149416447,-136.7638397,-0.675245464,0.197694406,12.94340229,-0.350556403,-1.971168876,-2.665468216,-0.476074219,-0.522949219,-0.803710938, 
677691329,-2.645290375,7.188164711,-136.7758026,-0.815416813,-0.047614999,8.808275223,2.265924931,3.504040003,-1.456476808,-0.482421875,-0.517578125,-0.821777344, 
677699662,-2.642435551,7.189416885,-136.7759399,-2.248664141,0.379368246,6.169287682,1.758968115,-1.039912462,-0.305987686,-0.482910156,-0.521484375,-0.800292969, 
677707995,-2.663131952,7.206410408,-136.7966766,0.122807264,0.325718075,10.43216324,-0.758847296,0.959214687,-2.664648771,-0.485839844,-0.513183594,-0.813964844, 
677716328,-2.637127638,7.225278854,-136.7967987,-2.054303408,-0.822091639,10.48731804,4.623151779,1.056600094,-0.205733553,-0.479492188,-0.51953125,-0.809570313, 
677724661,-2.61580348,7.218442917,-136.7971497,-0.010657709,0.364208609,8.798774719,3.978031874,-2.009180307,-0.373967826,-0.477050781,-0.519042969,-0.822265625, 
677732994,-2.625771999,7.226230145,-136.8029785,-2.540031672,-0.367634684,9.932538033,0.389707774,-0.241439775,-0.933177829,-0.48046875,-0.51953125,-0.817382813, 
677741327,-2.580609083,7.253246784,-136.8166504,-1.615350962,0.327826798,7.933976173,7.040623188,2.122997522,-1.77363205,-0.484375,-0.520996094,-0.810546875, 
677749660,-2.537011862,7.24050951,-136.8031158,0.167866707,0.312497795,8.154213905,6.569040298,-2.789544344,0.886060476,-0.478515625,-0.522949219,-0.805175781, 
677757993,-2.527608156,7.278112888,-136.8186493,-1.750346661,0.038634107,9.80883503,2.777543783,3.399227142,-1.941328645,-0.480957031,-0.517578125,-0.821777344, 
677766326,-2.497765541,7.285540104,-136.8091278,-2.081501007,-1.139480829,10.57392025,4.929293156,-0.364080787,0.891132116,-0.4765625,-0.5234375,-0.820800781, 
677774659,-2.46674943,7.294291019,-136.8175964,-0.261295021,0.069966488,9.964652061,5.264737129,-0.098819718,-1.256275892,-0.48046875,-0.520996094,-0.809082031, 
677782992,-2.414028883,7.318226814,-136.8028107,-1.970694542,0.691290617,7.258277416,7.629572392,1.600672364,1.313280463,-0.483398438,-0.523925781,-0.806640625, 
677791325,-2.365651369,7.339088917,-136.8059387,-0.859941006,0.352599323,9.069849968,7.347507954,1.311256766,-0.590843678,-0.479003906,-0.524902344,-0.812011719, 
677799658,-2.330922842,7.35925293,-136.7979736,-0.681917787,-0.904942095,11.35226822,5.459737778,1.187693715,0.749075472,-0.473144531,-0.520507813,-0.82421875, 
677807991,-2.242846727,7.360655785,-136.8005981,-2.112359762,-0.443887413,8.788255692,12.02384758,-1.011813521,-0.599270642,-0.474609375,-0.5234375,-0.812011719, 
677816324,-2.197766066,7.380284309,-136.7852783,-1.203190088,0.410043687,7.137607574,6.719112873,1.096506953,1.189640284,-0.478515625,-0.528808594,-0.799804688, 
677824657,-2.158005714,7.416849613,-136.7950592,-0.887629271,-0.025553646,8.206809998,6.336513996,3.237652302,-1.290214777,-0.481933594,-0.525878906,-0.801757813, 
677832990,-2.070719242,7.40415144,-136.7709808,-0.999080598,-0.192236945,11.82914829,11.58886623,-2.836136103,2.525729895,-0.470214844,-0.525390625,-0.810546875, 
677841323,-2.022068024,7.435623169,-136.77388,-1.620575905,-0.448109567,9.253175735,7.367180347,2.581492662,-0.484467715,-0.469726563,-0.526367188,-0.814453125, 
