time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
56100,32.8256829718786,34.9559595644856,10.1942341,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-1.7,247.0
56200,32.8256827608982,34.9559595548387,10.1942341,-0.023398050444789348,-0.000903304798432425,8.200080614528815e-10,-0.1,0.0,0.2,0.8,-1.1,247.0
56300,32.8256826483279,34.9559595650355,9.9942341,-0.03588226478630058,5.150088869659841e-05,0.20000000114646177,-0.1,0.0,0.3,1.2,-1.9,247.0
56400,32.8256825355598,34.9559595406532,9.9942341,-0.048388420740598265,-0.0022315776913412466,0.2000000001940352,-0.1,0.0,0.2,1.0,-4.1,246.9
56500,32.8256824136293,34.9559594496225,9.8942341,-0.06191069597786919,-0.010755386310318082,0.3000000014738573,-0.2,-0.1,0.2,-0.2,-7.4,247.0
56600,32.8256823080979,34.9559592419453,9.8942341,-0.07361428907386908,-0.030201593959021222,0.30000000394582393,-0.2,-0.2,0.1,0.3,-8.8,247.1
56700,32.8256821494167,34.9559589582259,9.8942341,-0.0912122771099782,-0.056768142638377816,0.3000000052785792,-0.2,-0.3,0.0,1.8,-8.9,247.0
56800,32.8256819442661,34.9559585751988,9.8942341,-0.11396379085158262,-0.09263353552375819,0.3000000087554131,-0.2,-0.4,0.0,1.0,-9.7,247.0
56900,32.825681708789,34.9559581204387,9.8942341,-0.14007856049329329,-0.1352157706829682,0.30000001398731335,-0.3,-0.5,0.0,-0.4,-10.3,246.9
57000,32.825681353101,34.9559576182418,9.8942341,-0.17952490260894796,-0.1822398330113627,0.300000018886978,-0.4,-0.6,0.0,-1.1,-10.3,246.8
57100,32.8256810171775,34.9559569786194,9.8942341,-0.21677932952871412,-0.24213196515688018,0.3000000266542333,-0.4,-0.7,-0.1,-0.2,-10.1,246.7
57200,32.8256806263509,34.9559562064929,9.9942341,-0.26012259998456744,-0.31443135581234505,0.2000000368504633,-0.5,-0.8,0.0,0.6,-9.8,246.6
57300,32.8256802161353,34.9559553731302,9.9942341,-0.30561613373264673,-0.3924646925933978,0.20000004828614681,-0.5,-0.9,0.0,1.1,-9.8,246.6
57400,32.8256796698208,34.9559544264389,9.9942341,-0.3662032425909518,-0.4811097481927049,0.2000000644232376,-0.5,-1.0,0.0,0.9,-9.8,246.6
57500,32.8256791714347,34.9559533955869,9.9942341,-0.42147501629733974,-0.5776353335744858,0.20000008212147424,-0.5,-1.0,0.0,0.5,-10.0,246.7
57600,32.8256786064241,34.9559522125179,9.9942341,-0.48413554829503047,-0.6884140205874211,0.20000010531973977,-0.6,-1.1,0.0,1.5,-9.3,246.8
