time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
195100,32.8256414773448,34.9558147269867,12.4942341,0.0,0.0,0.0,-1.8,-4.4,0.0,-1.0,-15.7,248.2
195200,32.8256398821797,34.9558101089746,12.4942341,-0.17690570744541123,-0.4324160313500034,1.0928456752878901e-06,-1.8,-4.5,0.0,-0.5,-15.8,248.2
195300,32.8256382050811,34.955805307251,12.4942341,-0.3628979243037058,-0.8820342467697078,2.266739096867809e-06,-1.8,-4.5,0.0,-1.1,-15.2,248.2
195400,32.8256365772201,34.9558009429179,12.4942341,-0.5434296564067154,-1.2906966313947361,3.375422833684638e-06,-1.9,-4.5,0.0,-1.7,-15.0,248.2
195500,32.8256348374752,34.9557959882202,12.4942341,-0.736369384757567,-1.754638892739953,4.661983047604679e-06,-1.9,-4.6,0.0,-1.0,-15.2,248.1
195600,32.8256331505505,34.955791139223,12.4942341,-0.9234512635286372,-2.208683707734812,5.957347851470729e-06,-1.9,-4.6,0.0,-0.6,-15.5,248.2
195700,32.8256313471009,34.9557858963672,12.4942341,-1.123455855645024,-2.6996082158491195,7.399761061677168e-06,-1.9,-4.6,0.0,-0.9,-15.4,248.2
195800,32.825629671432,34.9557809685126,12.4942341,-1.3092893941554342,-3.1610370186114114,8.792696786663612e-06,-1.9,-4.7,0.0,-1.3,-15.7,248.3
195900,32.8256279129079,34.955775739216,12.4942341,-1.5043116319916487,-3.6506919168061724,1.0311337588220226e-05,-1.9,-4.7,0.0,-1.5,-15.7,248.4
196000,32.8256262719444,34.9557708980994,12.4942341,-1.6862962549052316,-4.103998879176617,1.1757876290374725e-05,-1.9,-4.8,0.0,-1.8,-15.5,248.3
196100,32.8256245374236,34.9557658227453,12.4942341,-1.878656469153233,-4.579239127756738,1.3314474792025521e-05,-1.9,-4.8,0.0,-1.8,-16.1,248.2
196200,32.8256228456136,34.955760858699,12.4942341,-2.0662799857821748,-5.0440568787631594,1.487906444808118e-05,-1.9,-4.8,0.0,-1.6,-16.1,248.2
196300,32.8256210383208,34.9557554104777,12.4942341,-2.2667106158451986,-5.554211269921138,1.663231921078534e-05,-1.9,-4.8,0.0,-1.3,-16.3,248.2
196400,32.8256193074868,34.9557502643916,12.4942341,-2.45866187545728,-6.036074692042602,1.8337458617345703e-05,-1.9,-4.9,0.0,-1.4,-16.1,248.2
196500,32.8256174986698,34.9557448731597,12.4942341,-2.659261499974602,-6.540892818078534,2.0166096839524528e-05,-2.0,-4.9,0.0,-1.3,-16.3,248.2
196600,32.82561576794,34.9557396898624,12.4942341,-2.8512011478270516,-7.026240615820287,2.1967760056362806e-05,-2.0,-5.0,0.0,-1.7,-16.3,248.2
196700,32.8256138845012,34.955734074486,12.4942341,-3.0600763530152344,-7.552046976175932,2.3968419881725822e-05,-2.0,-5.0,0.0,-2.0,-16.4,248.2
196800,32.8256121288106,34.9557288224956,12.4942341,-3.2547841294713153,-8.043827022274678,2.588319710028486e-05,-2.0,-5.0,0.0,-2.1,-16.5,248.3
196900,32.8256102665286,34.9557232874548,12.4942341,-3.4613129744414346,-8.562111049884985,2.7951675365400774e-05,-2.0,-5.1,0.0,-2.1,-16.3,248.3
197000,32.8256084550344,34.9557179927887,12.4942341,-3.662209398654114,-9.057887166799881,2.998115020069747e-05,-2.1,-5.1,0.0,-2.3,-16.2,248.2
197100,32.825606478846,34.9557124396622,12.4942341,-3.8813705859053913,-9.57786475532212,3.216765426028445e-05,-2.1,-5.1,0.0,-2.1,-16.1,248.2
197200,32.82560463122,34.9557070833171,12.4942341,-4.086274017381533,-10.079416347496727,3.43159508569002e-05,-2.1,-5.2,0.0,-1.6,-16.1,248.2
197300,32.8256027186646,34.9557014174557,12.4942341,-4.298378124667837,-10.60995010086919,3.663136541653955e-05,-2.1,-5.2,0.0,-1.1,-16.0,248.1
197400,32.8256008600628,34.955695942218,12.4942341,-4.504498709549183,-11.122634464753597,3.892108607583822e-05,-2.1,-5.2,0.0,-1.5,-16.1,248.0
197500,32.8255988521458,34.9556901119337,12.4942341,-4.727178473075864,-11.668564328156078,4.141321764894457e-05,-2.1,-5.2,0.0,-1.4,-16.3,248.0
197600,32.8255968970359,34.9556844130409,12.4942341,-4.944001848273618,-12.202191117810434,4.3903032893588545e-05,-2.1,-5.2,0.0,-1.5,-16.4,248.2
197700,32.8255949460819,34.9556787386362,12.4942341,-5.160364304793766,-12.733524941014297,4.643258722758503e-05,-2.1,-5.3,0.0,-1.2,-16.9,248.2
197800,32.8255930710458,34.955673290211,12.4942341,-5.368307375833887,-13.24369876076779,4.8911654205952004e-05,-2.2,-5.3,0.0,-1.4,-16.7,248.4
197900,32.8255910576312,34.9556674918571,12.4942341,-5.591596723823375,-13.786638860008013,5.160499543332975e-05,-2.2,-5.3,-0.1,-2.7,-16.8,248.2
198000,32.8255891389789,34.9556621283756,12.4942341,-5.804376868043115,-14.288858879127718,5.415607418512991e-05,-2.2,-5.4,0.0,-1.6,-16.6,248.0
198100,32.8255870854785,34.9556562677513,12.4942341,-6.032111718920663,-14.837629841732847,5.69879626555192e-05,-2.2,-5.4,0.0,-0.4,-16.2,248.1
198200,32.8255851320492,34.9556505889832,12.4942341,-6.248748547382312,-15.369372357472477,5.977565610226776e-05,-2.2,-5.4,0.0,-0.6,-16.5,248.1
198300,32.8255830733833,34.9556445146744,12.4942341,-6.477056139698994,-15.938152112967634,6.281153256448846e-05,-2.2,-5.4,0.0,-1.0,-16.0,248.0
198400,32.8255811713607,34.9556389439312,12.4942341,-6.687991855358649,-16.45977954821435,6.564817257270761e-05,-2.2,-5.4,0.0,-1.3,-16.3,248.0
198500,32.8255792481358,34.9556334025288,12.4942341,-6.901278921859013,-16.978659633511086,6.852610272201076e-05,-2.2,-5.4,0.0,-1.3,-16.7,248.0
198600,32.8255773842839,34.9556279783062,12.4942341,-7.107981434784208,-17.486567373799872,7.138921036187185e-05,-2.2,-5.4,0.0,-1.6,-17.0,248.0
198700,32.8255753600108,34.9556220069861,12.4942341,-7.33247472127264,-18.04570367658014,7.458766171453135e-05,-2.2,-5.4,0.0,-1.7,-17.5,248.1
198800,32.8255732330936,34.9556156478734,12.4942341,-7.5683512490248885,-18.641151720785572,7.805140175154435e-05,-2.2,-5.4,0.0,-1.9,-18.0,248.2
198900,32.8255711591985,34.9556094836458,12.4942341,-7.798347566232546,-19.218351345742306,8.14708423586552e-05,-2.2,-5.4,0.0,-1.9,-18.3,248.2
199000,32.8255692250109,34.9556037275394,12.4942341,-8.012850199962713,-19.757335760733163,8.471902427142908e-05,-2.2,-5.5,0.0,-1.8,-18.2,248.2
199100,32.8255672370064,34.9555978124338,12.4942341,-8.233321130636387,-20.311208403326816,8.811366455585556e-05,-2.1,-5.5,0.0,-2.1,-18.5,248.3
199200,32.8255653598404,34.9555921732013,12.4942341,-8.441499957947833,-20.839249138486693,9.139645008904296e-05,-2.1,-5.5,0.0,-2.3,-18.3,248.4
199300,32.8255634693993,34.9555864469863,12.4942341,-8.651150955399192,-21.37543466857467,9.477646333966305e-05,-2.2,-5.5,0.0,-2.8,-18.6,248.4
199400,32.8255616167251,34.9555808387463,12.4942341,-8.85661355563467,-21.900573397791014,9.813895873289624e-05,-2.1,-5.4,0.0,-2.9,-18.9,248.4
199500,32.8255596890122,34.9555750114797,12.4942341,-9.07039796348791,-22.44622114245557,0.0001016852551174452,-2.2,-5.5,-0.1,-2.7,-19.1,248.5
199600,32.8255577834852,34.9555693335883,12.4942341,-9.281721941056379,-22.9778818764119,0.00010520119937762473,-2.2,-5.5,0.0,-2.8,-19.1,248.4
199700,32.8255556396191,34.9555631225459,12.4942341,-9.519477884987378,-23.55946532422606,0.00010911898923726682,-2.1,-5.5,0.0,-2.6,-19.7,248.4
199800,32.8255536824379,34.9555572534803,12.4942341,-9.736530265214856,-24.109027081320264,0.00011286021355605413,-2.2,-5.6,0.0,-2.6,-19.1,248.4
199900,32.8255516750745,34.9555511096425,12.4942341,-9.95914780184199,-24.684317693580105,0.00011682599564633023,-2.2,-5.6,0.0,-3.0,-19.2,248.4
200000,32.8255497090345,34.9555452003684,12.4942341,-10.17718256044057,-25.23764450386448,0.00012070491061244581,-2.2,-5.6,0.0,-3.1,-19.2,248.4
200100,32.8255474573264,34.9555386384185,12.4942341,-10.426898085002492,-25.85208598756131,0.00012509476569455558,-2.2,-5.6,0.0,-2.6,-19.4,248.5
200200,32.8255454949341,34.9555327501865,12.4942341,-10.644528251663974,-26.403442530998547,0.00012907768568570788,-2.2,-5.6,0.0,-2.4,-19.1,248.5
200300,32.8255434993607,34.9555266587504,12.4942341,-10.865838144334361,-26.973826510913625,0.00013324613575704802,-2.2,-5.6,0.0,-3.0,-19.4,248.5
200400,32.8255415962177,34.9555208426573,12.4942341,-11.076897435399651,-27.518428213399744,0.00013728207332253106,-2.2,-5.6,0.0,-3.4,-19.2,248.6
200500,32.8255397709795,34.955514925268,12.4942341,-11.279316891251508,-28.072514963161886,0.00014141053561278483,-2.2,-5.7,0.0,-3.4,-19.4,248.5
200600,32.8255378326491,34.9555090321833,12.4942341,-11.494278427981833,-28.62432598220969,0.000145609817335135,-2.2,-5.7,0.0,-2.9,-19.2,248.5
200700,32.825535757764,34.9555027884766,12.4942341,-11.724383923014603,-29.208968244783513,0.0001501251344633303,-2.2,-5.7,0.0,-2.9,-19.1,248.5
200800,32.8255337476909,34.9554967432028,12.4942341,-11.94730171251248,-29.77502986263351,0.0001545575886359174,-2.3,-5.7,0.0,-3.2,-19.2,248.4
200900,32.8255315950051,34.955490287565,12.4942341,-12.186035269830612,-30.379516787045112,0.00015935680895129423,-2.3,-5.7,0.0,-3.3,-19.2,248.4
201000,32.8255294515169,34.9554839375461,12.4942341,-12.42374880842667,-30.974113909986244,0.00016414811603659984,-2.3,-5.8,0.0,-3.1,-19.3,248.4
