time,distance(meters),speed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),height_above_takeoff(meters),North,East,Down
0.0,0.671085,0.678663,245.0,-15.0,-3.8,8.7,0.0,0.0,0.0
0.09999999999999432,0.690081,0.983806,245.2,-19.0,-5.5,8.7,-0.010665607623125663,-0.017456513210113038,-2.756224328631651e-10
0.20000000000001705,0.717315,1.1688,245.1,-17.1,-3.2,8.7,-0.020315178514264138,-0.049437435287963155,2.309526857952049e-10
0.30000000000001137,0.759967,1.32212,245.1,-16.4,-2.1,8.5,-0.03488665037225633,-0.09865366031019335,0.20000000119053252
0.4000000000000057,0.816885,1.45454,245.1,-17.8,-4.0,8.4,-0.05840480906258247,-0.1577173344192982,0.3000000008535336
0.5,0.895394,1.53047,245.3,-18.5,-3.6,8.3,-0.09665110817404543,-0.2312947307515136,0.4000000046961764
0.5999999999999943,0.980024,1.61051,245.2,-18.5,-2.7,8.2,-0.13735325657394187,-0.3100062576137147,0.5000000087455622
0.700000000000017,1.09349,1.5756,245.0,-17.7,-2.3,8.0,-0.1915987218320252,-0.4145284179923574,0.7000000161306894
0.8000000000000114,1.21988,1.58803,244.8,-16.3,-1.6,7.9,-0.2530092067112048,-0.5288776367708816,0.8000000268357399
0.9000000000000057,1.36867,1.65045,244.7,-15.7,-1.8,7.8,-0.3298380574090727,-0.6587393349301726,0.9000000418394476
1.0,1.52945,1.7151,244.6,-15.7,-2.6,7.7,-0.42842127253703133,-0.7858598079405963,1.0000000630659398
1.0999999999999943,1.70983,1.91545,244.4,-14.0,-2.0,7.7,-0.5258540716438243,-0.9391461646151413,1.000000090066652
1.200000000000017,1.89342,2.22137,244.0,-12.2,-1.2,7.7,-0.6219794386131003,-1.0972609689801232,1.0000001244696628
1.3000000000000114,2.0939,2.58622,244.0,-9.7,-1.6,7.8,-0.7197640557200464,-1.2750476695098867,0.9000001680180223
