time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,-0.502989706,-2.107129335,-65.9985237,-0.12510705,-0.553070637,13.85801816,5.555812418,48.25746823,0.613328189
0.008333,-0.454654932,-1.70641774,-65.97953415,-2.330568642,-0.529193841,14.44945359,5.162088454,47.62005425,2.247576818
0.016666,-0.414121462,-1.268867579,-65.97065165,0.318414748,-0.72345604,15.35893512,4.156492651,52.03984642,1.021933422
0.024999,-0.414327239,-0.842729516,-65.9610672,-2.313974947,-0.685330749,15.27545834,-0.72213102,50.68759632,1.091162562
0.033332,-0.42900644,-0.401997343,-65.96159173,0.00356397,-1.651159376,15.04104185,-2.489584893,52.42556191,-0.117291309
0.041665,-0.478780739,-0.014088281,-65.96042633,-0.716433075,-1.350299783,14.13883924,-6.703172028,46.11241341,0.083918579
0.049998,-0.57876173,0.377976611,-65.97168543,0.630499184,-1.83496514,13.60803819,-12.71507859,46.59581947,-1.374920778
0.058331,-0.699462176,0.736463994,-65.9780674,-1.506622404,-2.65264827,15.1711731,-15.21913839,42.59449768,-0.721598953
0.066664,-0.835445956,1.059848204,-65.98783873,0.141774945,-0.834425748,16.47962785,-17.00510597,38.35334969,-1.115473166
0.074997,-1.012500815,1.354057081,-66.0005474,-0.897389725,-0.860811442,16.9927609,-21.96326304,34.89442873,-1.384086132
0.08333,-1.211764946,1.634761785,-66.01181033,-0.673771352,-1.287257478,16.95384336,-24.5739913,33.24185944,-1.165132351
0.091663,-1.425581217,1.88398736,-66.02816773,-1.117357951,-1.048037753,16.18267894,-26.36011267,29.51425552,-1.69551751
0.099996,-1.645233542,2.131040528,-66.02911375,-0.003996067,-0.126759673,14.64841294,-27.04566384,29.17441893,0.199647412
0.108329,-1.85423702,2.345405221,-66.02993965,-0.424352071,-1.333094113,13.96076537,-25.8326931,25.28208256,0.258643448
0.116662,-2.053955793,2.527406156,-66.0144024,-0.125231091,-0.371096749,15.61534882,-24.73008251,21.30309487,2.107784644
0.124995,-2.258850903,2.703102291,-66.00823785,-0.366627645,-1.0518841,16.00328923,-25.38347626,20.60764599,1.107906312
0.133328,-2.469054401,2.854177862,-65.98633385,0.009883244,-0.001235621,16.57862592,-26.035851,17.54794026,2.864173658
0.141661,-2.675079167,2.970269412,-65.98064993,-0.13647188,-0.24183429,16.41607976,-25.51092195,13.45301747,0.881905139
0.149994,-2.884546518,3.069261014,-65.96759605,-0.316618657,-0.321616717,14.8592093,-25.91252279,11.33759713,1.628832877
0.158327,-3.087469161,3.149529159,-65.96466828,0.159517542,-1.584481537,13.92633247,-25.11741352,9.1621176,0.426592496
0.16666,-3.263175607,3.197431654,-65.9385357,-1.150530279,-0.329947308,15.38766742,-21.94782496,5.115129888,2.922387023
0.174993,-3.417584896,3.221096307,-65.920557,0.303060161,-0.025862079,16.79839802,-19.38976908,2.270139516,1.890424013
0.183326,-3.562871278,3.21590057,-65.89269258,-1.068370678,-0.480651208,16.78817725,-18.31826639,-1.271125645,2.77316463
0.191659,-3.701272488,3.178413004,-65.87748528,-0.329279257,0.252061624,16.91579819,-17.44817543,-5.044587106,1.10287552
0.199992,-3.845209956,3.120993197,-65.84993173,-1.323559672,-0.36549975,16.25784278,-18.15183449,-7.537554622,2.321640015
0.208325,-3.970440149,3.024637282,-65.83361053,0.217292477,-0.036487119,16.16303539,-15.86091971,-12.1125629,0.747097079
0.216658,-4.065414131,2.929215282,-65.8133087,-2.491890296,0.136729181,14.63553548,-12.2367456,-12.03030777,1.107470125
0.224991,-4.139450908,2.802645624,-65.81124115,-0.071948484,-0.308773704,13.88937473,-9.612452031,-15.61469484,-1.262052149
0.233324,-4.18546164,2.682508707,-65.80219458,-2.174586087,-0.844032394,13.98779821,-6.299348593,-14.89193988,-0.468423493
0.241657,-4.20544523,2.569389045,-65.8004837,-0.344303154,0.523371104,16.24653673,-3.108051598,-14.00507045,-1.200110579
0.24999,-4.214029372,2.443150282,-65.79979515,-2.37350063,-0.438277949,17.22419429,-1.778306991,-15.54541826,-1.530514777
0.258323,-4.218960703,2.32872802,-65.79763793,-0.166114908,-0.257886499,16.8111887,-1.293512464,-14.1667068,-1.172238961
0.266656,-4.227647066,2.188718394,-65.79883768,-1.427502431,-0.218881846,15.09377718,-1.782988194,-17.17786598,-1.861553341
0.274989,-4.225181878,2.055105969,-65.7991829,-0.877139569,-0.839149617,15.19369244,-0.389701486,-16.44233108,-1.638107591
0.283322,-4.20333308,1.914352134,-65.81092263,-1.223127306,-1.012874961,15.27369023,1.916031681,-17.17102146,-3.131014417
0.291655,-4.16511035,1.792629376,-65.81929205,-1.081018739,0.770163566,14.11619115,3.936309814,-14.95221329,-2.486329533
0.299988,-4.101628423,1.680526025,-65.84101293,-1.754717126,-0.24713671,14.83086825,6.940802158,-13.66144109,-4.026798725
0.308321,-4.011722445,1.61545226,-65.85576248,-2.397888541,-0.593864173,16.94489813,10.15252089,-8.119352102,-2.726972115
0.316654,-3.903854013,1.579423968,-65.88560488,-2.256691307,0.061299235,16.81762838,12.29136729,-4.502524942,-4.315067887
0.324987,-3.78831321,1.580323149,-65.90355493,-2.300090075,-0.26003069,14.72819424,13.23204398,-0.200409048,-2.558123127
0.33332,-3.666497469,1.591655344,-65.92387963,-1.545859158,-1.28465486,14.13418102,13.93634272,1.076563426,-2.797193199
0.341653,-3.531025291,1.642713621,-65.9342575,-2.295622677,-0.219222851,14.93179631,15.60044313,5.739434123,-1.267309427
0.349986,-3.389384508,1.704631656,-65.96092605,-0.654633909,-0.758577902,15.18997788,16.34164238,7.170188069,-3.19986856
0.358319,-3.247521043,1.77780392,-65.97293855,-1.897829324,-1.45021002,14.68386627,16.36796856,8.399352551,-1.352368064
0.366652,-3.11199671,1.843319655,-66.0018482,0.171388004,0.137194762,14.2358706,15.63283897,7.599290848,-3.487561591
0.374985,-2.986486852,1.909144625,-66.0210419,-1.369954735,-1.555095464,12.77479983,14.42721749,7.564496994,-2.300559133
0.383318,-2.865112782,1.955467016,-66.04850768,-0.527022422,-2.575254977,12.3249743,13.949929,5.272208035,-3.483828083
0.391651,-2.756363631,1.999766693,-66.07027435,-1.530638352,-0.762883105,11.51058006,12.42443871,4.994613349,-2.75914976
0.399984,-2.662034392,2.000565767,-66.09476473,0.416903747,-1.418543399,10.77436137,10.70250225,-0.214855463,-3.412901551
0.408317,-2.578175426,2.000310168,-66.11050798,-1.48108162,-1.862673953,11.41236758,9.402265788,-0.384876229,-2.291548796
0.41665,-2.530554175,2.018396214,-66.13085938,-0.674999699,-1.093212519,11.13689423,5.086574316,1.826432794,-2.821821094
0.424983,-2.517875016,2.0321078,-66.15516665,-1.954359263,-2.744711041,8.563134075,0.891298622,1.334002197,-3.24987343
0.433316,-2.550036252,2.083644941,-66.18097498,-0.483133383,-2.578041196,7.536576211,-4.449400991,5.860617399,-3.281532526
0.441649,-2.649285555,2.066773817,-66.2102871,-2.143581733,-1.796046332,7.37089622,-12.53339577,-2.297258064,-3.992545814
0.449982,-2.799276531,2.246626899,-66.24134258,-1.784107155,-3.620824874,5.501313746,-18.55031991,21.27431202,-3.132011488
0.458315,-2.980327249,2.196463942,-66.25766563,0.241402861,-2.029527068,5.51824224,-22.40785313,-6.349128604,-2.663308561
0.466648,-3.254466832,2.382452011,-66.2598343,-2.077986777,-1.978099465,8.370935618,-33.58536339,21.84226847,0.521538794
0.474981,-3.559818804,2.465398938,-66.24935725,0.241432734,-2.185396284,3.725694895,-37.43162632,9.414349674,1.467537836
0.483314,-3.870339274,2.572686672,-66.2278366,-1.505504914,-0.887269013,5.564518511,-38.10050774,12.23916769,2.972936541
0.491647,-4.240809381,2.668711275,-66.21537783,0.573360503,-1.045858063,6.926707953,-45.23542214,10.93739843,1.90432594
0.49998,-4.633092463,2.776344001,-66.21305658,-0.923298933,-1.507982277,2.288729914,-47.82428837,12.42035675,0.832160118
0.508313,-5.035761833,2.871007562,-66.21725273,0.690097556,-0.39330427,4.105941296,-49.01058007,10.90961719,0.078219772
0.516646,-5.429941654,2.943977267,-66.22538568,-1.086933648,-1.366468942,2.610217057,-47.98946667,8.379333614,-0.632422984
0.524979,-5.81079638,3.00543198,-66.22834395,1.312821712,-0.179854624,4.710663736,-46.39585018,6.91450274,-0.031973585
0.533312,-6.19664681,3.062739134,-66.22649003,-1.364798509,-0.025211405,5.076005518,-47.05480862,6.388825253,0.489182741
0.541645,-6.580168247,3.074771583,-66.21510123,1.800550431,0.357998546,6.838829219,-46.79670716,0.822214559,1.111153603
0.549978,-6.958548665,3.100301802,-66.20774843,-2.425673366,-0.280089192,3.811468572,-46.20047665,2.514741063,0.790290441
0.558311,-7.30811131,3.052432954,-66.19267845,2.575553716,0.274428092,2.193594128,-42.73324395,-6.390010937,0.662725389
0.566644,-7.606226206,3.023477525,-66.18575095,-2.814207286,-0.504225012,2.298005882,-36.58158779,-3.963199377,-0.101624221
0.574977,-7.86038065,2.948178291,-66.17394445,3.188518405,1.331660241,4.981756777,-31.23427296,-9.619525552,-0.225242973
