time,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,-9.083976984,9.468184472,-65.964365,-0.191845587,-1.784996301,15.63460875,7.910153866,-11.5715816,1.142952189
0.008333,-8.984411717,9.348981738,-65.93124198,-0.692032773,-0.642672505,15.01434517,10.59788251,-15.21030331,1.252065741
0.016666,-8.879096031,9.215763927,-65.90295223,-0.911105968,-0.978444338,14.16899204,11.39488077,-16.78014731,0.482642793
0.024999,-8.769664764,9.080118061,-65.87763978,-1.802030206,-1.499513417,15.78402353,11.94969249,-17.01424217,0.090379834
0.033332,-8.677454948,8.937591911,-65.8540802,-1.139220551,-2.775323182,14.86232853,9.917092324,-17.79709673,-0.185949813
0.041665,-8.581706524,8.787846088,-65.82540893,-1.218593344,-1.828451812,15.08410358,10.25238657,-18.74452639,0.284494214
0.049998,-8.465670228,8.628211975,-65.79136085,-1.262059979,-1.112406908,15.1767714,12.59874868,-20.01153803,0.795805887
0.058331,-8.341639996,8.466493607,-65.7564087,-0.582645457,-1.80157727,15.37789226,13.55852699,-20.27203512,0.889624473
0.066664,-8.208181382,8.312556148,-65.72148133,-1.861895278,-0.213259793,17.22400808,14.69078708,-19.34829617,1.128304332
0.074997,-8.092041731,8.153076768,-65.6875019,-0.856460933,-1.353702605,16.63911033,12.64632082,-19.98759317,0.907483975
0.08333,-7.987807035,7.994175434,-65.63939285,-1.756837428,-2.154541984,15.37521529,10.99993324,-20.14916325,2.659389555
0.091663,-7.880766988,7.823047519,-65.58669473,-1.229589038,-1.703516007,13.80479002,11.27931762,-21.66889858,2.99795568
0.099996,-7.770920277,7.671075106,-65.54604723,-2.318297103,-1.694519728,13.83493758,11.80532551,-19.20245695,2.01650092
0.108329,-7.662823677,7.515086413,-65.50425148,-1.329506192,-1.812965095,15.69116187,11.61630416,-19.68267155,2.044311464
0.116662,-7.576016903,7.381338597,-65.46242333,-1.59373774,-2.239124358,14.82391811,9.033269167,-17.04468083,2.504781515
0.124995,-7.498996496,7.251581669,-65.41625595,-1.932536453,-1.434295893,14.17161703,7.856775045,-16.62363386,3.035809755
0.133328,-7.421426416,7.135150075,-65.3853474,-2.119962074,-1.670980409,12.21056986,8.107394338,-14.80284858,1.475959927
0.141661,-7.342218399,7.043936014,-65.35692215,-0.995263383,-1.721811086,11.31473756,8.421266914,-11.75125837,1.586155388
0.149994,-7.262843847,6.932266355,-65.34711838,-0.63244706,-1.74861984,10.80309439,8.644252419,-13.91244769,-0.90291164
