,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,-6.910519481,17.62678862,-56.2273426,-4.19071573,-0.904450827,8.59854561,-8.417171598,65.40056134,-5.497390181
0.008333,-7.020437241,17.8402853,-56.27457808,2.293109536,-0.878370331,4.114673079,-12.15463257,25.6413331,-2.632213776
0.016666,-7.135595441,18.33340454,-56.3608284,-5.151300341,-0.703436345,6.945859911,-11.48400402,59.50281429,-2.861388892
0.024999,-7.294400454,18.62048149,-56.40264703,1.595529378,-1.657048881,1.375456959,-18.14422274,34.3315258,-0.773273111
0.033332,-7.433290005,19.03727245,-56.46227073,-2.306577973,-0.215028867,2.219225347,-15.26835465,50.05547905,-0.685923666
0.041665,-7.558586001,19.40663958,-56.49502755,0.218967676,-1.274894372,2.41300872,-14.38646055,43.96391964,1.730231196
0.049998,-7.695372463,19.78866768,-56.54374125,-2.220227406,-0.709828846,4.231263012,-15.35387421,45.7345314,0.237754941
0.058331,-7.85400784,20.1618619,-56.5666027,0.178417251,0.322812304,3.439520329,-18.74751115,44.27548504,3.13457048
0.066664,-8.019242883,20.53241348,-56.6193962,-1.191630841,-1.490082167,3.034001082,-18.53004241,44.43507481,-0.17186141
0.074997,-8.166126967,20.89673424,-56.64681818,-0.996341184,-0.10291918,1.265023187,-17.12358427,43.27300358,2.732230395
0.08333,-8.306254864,21.23676586,-56.70080188,-0.43058867,-0.811495856,1.23553738,-15.37642432,40.84030723,-0.567798793
0.091663,-8.422853232,21.58018923,-56.74418448,-0.747913531,-0.308563695,3.998166979,-12.73516321,41.01446533,0.827846349
0.099996,-8.562024593,21.90208626,-56.80653955,-0.157449551,-0.038687855,4.38653332,-14.80581904,38.80160999,-1.603581995
0.108329,-8.699444294,22.22465897,-56.84676743,-0.446778093,-0.305712968,2.009630785,-15.36087156,38.50160503,1.005383253
0.116662,-8.824760199,22.51006508,-56.89628413,-0.134181291,-0.64094667,1.1131492,-13.63457918,34.25620937,-0.640090987
0.124995,-8.93507266,22.8060751,-56.9192047,-1.291074485,-0.235321231,0.238683866,-12.87232804,35.04861546,2.587364391
0.133328,-9.018260002,23.06977463,-56.94807813,0.755996376,0.372649401,0.890406937,-9.491424441,31.34573984,1.336381942
0.141661,-9.075032234,23.3199029,-56.95666315,-1.741523236,-0.327277065,3.353005111,-7.075592637,29.33168555,3.404477138
0.149994,-9.131494284,23.55236483,-56.97437668,1.159294579,-0.244787499,2.900992244,-6.738655685,27.42311287,2.052021474
0.158327,-9.178360224,23.75757695,-56.9830723,-0.449092837,0.954311878,2.381809235,-5.94143641,24.02977705,2.572788224
0.16666,-9.203511953,23.9174366,-56.9993782,0.536963269,-1.013767973,1.748614013,-3.033927158,18.79709554,0.86565565
0.174993,-9.20734334,24.06104231,-57.0100174,-0.71119003,-0.135651261,1.49391368,-0.662640527,16.76230908,1.204484165
0.183326,-9.211470604,24.1585598,-57.02573775,0.900657222,1.081373125,1.605127689,-0.546207663,11.42455209,-0.263752986
0.191659,-9.173507452,24.22469044,-57.02816773,-0.741629094,-0.712985099,3.176351086,3.961206654,7.41981975,0.608264465
0.199992,-9.107260704,24.24913979,-57.02415848,1.29942338,0.801754117,4.54522264,6.962833047,2.398074914,0.502320752
0.208325,-9.030686617,24.23609352,-57.0130024,-0.881545335,0.082126316,4.053041577,7.893440485,-2.169167549,0.547571793
0.216658,-8.932352305,24.19313097,-56.98710633,0.65279033,-0.819545135,3.642023623,9.748302341,-5.959886059,1.603317067
0.224991,-8.825664521,24.10607672,-56.9668026,-0.259926498,0.289697841,3.797215641,11.04857445,-11.09293258,0.171788536
0.233324,-8.706653595,23.98794031,-56.92844963,-0.449792325,-0.241364167,4.399678648,11.61299157,-15.04273248,1.568958432
0.241657,-8.574810744,23.85433626,-56.9068737,0.413753469,-0.424400973,4.791383266,14.04397869,-16.66016412,-0.469924957
0.24999,-8.428163767,23.67157745,-56.86653138,-1.856067687,0.11035596,5.196943343,14.85044598,-22.76166296,0.747125834
0.258323,-8.262480736,23.4622488,-56.8371048,0.604467601,-0.686355613,4.657837808,17.73050928,-25.75210762,-0.847060025
0.266656,-8.063416839,23.20105267,-56.78380203,-1.479203492,-0.400469448,5.042511463,20.57180548,-32.26648283,0.940955937
0.274989,-7.885396123,22.9948802,-56.75439073,0.384061515,0.278689936,7.683633805,19.24319458,-25.38052416,-0.618084431
